id,institution_code,code,name,degree_family,catalog_year,total_credits,source_url,last_verified_at,verified_by,verification_status,notes
6b6d512a-639d-592a-997a-5440dc212265,SNHU,BAGS,Bachelor of Arts in General Studies,PROFESSIONAL_STUDIES,2026-2027,120,https://www.snhu.edu/online-degrees/bachelors/ba-in-general-studies,2026-09-01,seed-research-2026-09,VERIFIED,
cc5782b4-ba6b-5e89-82c7-ad13aebe582c,UMASS,BBA,Bachelor of Business Administration — MyPath,BUSINESS_ADMINISTRATION,2025-2026,120,https://www.umassglobal.edu/academic-programs/bba-business-administration-self-paced,2026-09-01,seed-research-2026-09,VERIFIED,
8e187a0f-d6b2-5e45-871b-82cb1146bac2,UMASS,BSIT,Bachelor of Science in Information Technology — MyPath,CYBERSECURITY,2025-2026,120,https://www.umassglobal.edu/academic-programs/bachelors-degrees,2026-09-01,seed-research-2026-09,VERIFIED,MyPath IT is the self-paced bachelor's path used here for cybersecurity / IT planning.
c7587431-ce71-528e-8d7b-a82328257a45,UMASS,BAAS,Bachelor of Arts in Applied Studies — Leadership MyPath,PROFESSIONAL_STUDIES,2025-2026,120,https://www.umassglobal.edu/academic-programs/bachelors-degrees,2026-09-01,seed-research-2026-09,VERIFIED,
e9b515f2-d22b-5f76-a834-ede60188fa69,PG,BSBA,Bachelor of Science in Business Administration — ExcelTrack,BUSINESS_ADMINISTRATION,2025-2026,120,https://www.purdueglobal.edu/student-experience/personalized-learning/,2026-09-01,seed-research-2026-09,VERIFIED,ExcelTrack self-paced bachelor's path. Purdue Global catalogs 180 quarter credits; stored as 120 semester-equivalent.
ff54f985-0c63-51a6-919a-f5941d464b8f,PG,BSCY,Bachelor of Science in Cybersecurity — ExcelTrack,CYBERSECURITY,2025-2026,120,https://www.purdueglobal.edu/student-experience/personalized-learning/,2026-09-01,seed-research-2026-09,VERIFIED,ExcelTrack self-paced bachelor's path. Semester-equivalent credits.
1dd98556-d31c-5c01-bec5-06ed01bf7904,PG,BSPS,Bachelor of Science in Professional Studies,PROFESSIONAL_STUDIES,2025-2026,120,https://www.purdueglobal.edu/degree-programs/professional-studies/bachelor-degree-professional-studies/,2026-09-01,seed-research-2026-09,VERIFIED,Open / individualized bachelor's. Tuition is $195 per month plus ASK assessment fees and the PR499 capstone. Not the ExcelTrack per-term rate.
83e45892-c689-5acc-bcd2-3c09b576b6f1,UMPI,BAPSY,Bachelor of Arts in Psychology — YourPace,PSYCHOLOGY,2025-2026,120,https://www.umpi.edu/yourpace/academic_programs/psychology/,2026-09-01,seed-research-2026-09,VERIFIED,
733867d8-2b4a-5d37-b6b0-8c27ee4a65bc,UMPI,BSHA,Bachelor of Science in Healthcare Administration — YourPace,HEALTHCARE_MANAGEMENT,2025-2026,120,https://www.umpi.edu/yourpace/academic_programs/healthcare-administration/,2026-09-01,seed-research-2026-09,VERIFIED,
76b21a94-fc50-5e86-b761-d4f2b93ae54a,UMPI,BACJ,Bachelor of Arts in Criminal Justice — YourPace,CRIMINAL_JUSTICE,2025-2026,120,https://www.umpi.edu/yourpace/academic_programs/criminal-justice/,2026-09-01,seed-research-2026-09,VERIFIED,
8cfff6a0-be96-5685-8080-426d8cec8193,UMPI,BLS,Bachelor of Liberal Studies — YourPace,PROFESSIONAL_STUDIES,2025-2026,120,https://www.umpi.edu/yourpace/academic_programs/,2026-09-01,seed-research-2026-09,VERIFIED,
9ca663ac-c826-58ef-bab1-7b5fc21458aa,WGU,BSPSY,"Bachelor of Science, Psychology",PSYCHOLOGY,2026-03,120,https://www.wgu.edu/online-psychology-health-degrees/psychology-bachelors-program.html,2026-09-01,seed-research-2026-09,VERIFIED,
27057812-9c6d-50ea-90e6-67ec40620e7a,WGU,BSHA,"Bachelor of Science, Healthcare Administration",HEALTHCARE_MANAGEMENT,2026-03,120,https://www.wgu.edu/online-business-degrees/healthcare-administration-bachelors-program.html,2026-09-01,seed-research-2026-09,VERIFIED,
cfdba9c6-a51f-5f12-b7b2-79b7b3432679,WGU,BSSWE,"Bachelor of Science, Software Engineering",SOFTWARE_ENGINEERING,2026-03,120,https://www.wgu.edu/online-it-degrees/software-engineering-bachelors-program.html,2026-09-01,seed-research-2026-09,VERIFIED,
e6f39a86-bf86-5963-ad37-96d642e5e2d4,TESU,BAPSY,Bachelor of Arts in Psychology,PSYCHOLOGY,2025-2026,120,https://tesu.smartcatalogiq.com/en/current/undergraduate-catalog/degree-programs-and-certificates/bachelor-of-arts-programs/bachelor-of-arts-in-psychology,2026-09-01,seed-research-2026-09,VERIFIED,
a8cd3a03-6f4b-5f4d-906c-6cacc2ff8c49,TESU,BSCJ,Bachelor of Science in Criminal Justice,CRIMINAL_JUSTICE,2025-2026,120,https://www.tesu.edu/heavin/undergrad/bs-criminal-justice,2026-09-01,seed-research-2026-09,VERIFIED,
052c7d84-5e69-552b-8a10-36b6b7ce33b1,TESU,BSIT,Bachelor of Science in Information Technology,SOFTWARE_ENGINEERING,2025-2026,120,https://www.tesu.edu/ast/undergrad,2026-09-01,seed-research-2026-09,VERIFIED,Closest published TESU bachelor's path for software engineering planning.
ecfeb37e-ba54-5faa-92aa-30b013f97294,TESU,BSHS,Bachelor of Science in Health Services,HEALTHCARE_MANAGEMENT,2025-2026,120,https://www.tesu.edu/nursinghealth/undergrad,2026-09-01,seed-research-2026-09,VERIFIED,
7e00b379-4ce3-5407-a6cc-b7b80389dc27,EXCELSIOR,BSPSY,Bachelor of Science in Psychology,PSYCHOLOGY,2025-2026,120,https://www.excelsior.edu/program/online-bs-in-psychology-degree/,2026-09-01,seed-research-2026-09,VERIFIED,
78c64761-0576-56e2-8b21-e8cdb341653a,EXCELSIOR,BSCJ,Bachelor of Science in Criminal Justice,CRIMINAL_JUSTICE,2025-2026,120,https://www.excelsior.edu/program/bachelor-of-science-in-criminal-justice/,2026-09-01,seed-research-2026-09,VERIFIED,
06c03e24-dc88-522d-82c3-8f65f332e601,EXCELSIOR,BSIT,Bachelor of Science in Information Technology,SOFTWARE_ENGINEERING,2025-2026,120,https://www.excelsior.edu/program/bachelors-information-technology/,2026-09-01,seed-research-2026-09,VERIFIED,Closest published Excelsior bachelor's path for software engineering planning.
a5762b73-8c38-5a64-af48-213ab7a0632f,EXCELSIOR,BSHS,Bachelor of Science in Health Sciences,HEALTHCARE_MANAGEMENT,2025-2026,120,https://www.excelsior.edu/program/bachelors-health-sciences/,2026-09-01,seed-research-2026-09,VERIFIED,
da28f168-b92e-55c5-a404-54bd3ba72469,COSC,BSPSY,Bachelor of Science in Psychology,PSYCHOLOGY,2026-2027,120,https://www.charteroak.edu/psychology/,2026-09-01,seed-research-2026-09,VERIFIED,
6ad5768e-e920-5346-9800-5b4aca0234bb,COSC,BSHA,Bachelor of Science in Healthcare Administration,HEALTHCARE_MANAGEMENT,2026-2027,120,https://www.charteroak.edu/health-care-administration/,2026-09-01,seed-research-2026-09,VERIFIED,
9fb2240b-1ef1-57b2-81cc-0d1fec12e09f,COSC,BSCJ,Bachelor of Science in Criminal Justice,CRIMINAL_JUSTICE,2026-2027,120,https://www.charteroak.edu/criminal-justice/,2026-09-01,seed-research-2026-09,VERIFIED,
d9ba6f0c-ef23-5840-a184-3ed17b017af2,COSC,BSSWD,Bachelor of Science in Software Development,SOFTWARE_ENGINEERING,2026-2027,120,https://www.charteroak.edu/bachelors/,2026-09-01,seed-research-2026-09,VERIFIED,
a384825d-bc28-54f1-81f4-4475ea636974,SNHU,BAPSY,Bachelor of Arts in Psychology,PSYCHOLOGY,2026-2027,120,https://www.snhu.edu/online-degrees/bachelors/ba-in-psychology,2026-09-01,seed-research-2026-09,VERIFIED,
c7ebb44d-9d26-5ea8-99d8-5911a72ad176,SNHU,BSHA,Bachelor of Science in Healthcare Administration,HEALTHCARE_MANAGEMENT,2026-2027,120,https://www.snhu.edu/online-degrees/bachelors/bs-in-healthcare-administration,2026-09-01,seed-research-2026-09,VERIFIED,
aa09e58e-ec3b-543d-8262-db7cffd358ce,SNHU,BSCJ,Bachelor of Science in Criminal Justice,CRIMINAL_JUSTICE,2026-2027,120,https://www.snhu.edu/online-degrees/bachelors/bs-in-criminal-justice,2026-09-01,seed-research-2026-09,VERIFIED,
a7cf240e-6fe1-5604-a8b0-6d53f30208c4,SNHU,BSCS,Bachelor of Science in Computer Science,SOFTWARE_ENGINEERING,2026-2027,120,https://www.snhu.edu/online-degrees/bachelors/bs-in-computer-science,2026-09-01,seed-research-2026-09,VERIFIED,Closest published SNHU bachelor's path for software engineering planning.
2df1955c-716f-5ee5-8f14-2242d922fba6,UMASS,BAPSY,Bachelor of Arts in Psychology,PSYCHOLOGY,2025-2026,120,https://www.umassglobal.edu/academic-programs/bachelors-degrees,2026-09-01,seed-research-2026-09,VERIFIED,Term-based online psychology bachelor's. Not a MyPath CBE program.
e0ce285c-a244-5c36-b297-f68491653094,UMASS,BACJ,Bachelor of Arts in Criminal Justice,CRIMINAL_JUSTICE,2025-2026,120,https://www.umassglobal.edu/academic-programs/bachelors-degrees,2026-09-01,seed-research-2026-09,VERIFIED,Term-based online criminal justice bachelor's. Not a MyPath CBE program.
b75e4b76-7a6e-5b04-9bcc-9c893311afa1,UMASS,BSSWE,Bachelor of Science in Information Technology — MyPath (software planning),SOFTWARE_ENGINEERING,2025-2026,120,https://www.umassglobal.edu/academic-programs/bs-information-technology,2026-09-01,seed-research-2026-09,VERIFIED,MyPath BSIT is the self-paced bachelor's used here for software engineering planning. The same catalog program is also listed under Cybersecurity / IT.
9497c1ae-f2e0-57bd-ab15-8d8731a05478,PG,BSPSY,Bachelor of Science in Psychology,PSYCHOLOGY,2025-2026,120,https://www.purdueglobal.edu/degree-programs/psychology/bachelor-degree-psychology-online/,2026-09-01,seed-research-2026-09,VERIFIED,Standard online bachelor's (180 quarter credits stored as 120 semester-equivalent). Not ExcelTrack.
b3cd208c-6b9c-56d2-aa89-bcdddd727435,PG,BSCJ,Bachelor of Science in Criminal Justice,CRIMINAL_JUSTICE,2025-2026,120,https://www.purdueglobal.edu/degree-programs/criminal-justice/bachelor-degree-criminal-justice/,2026-09-01,seed-research-2026-09,VERIFIED,Standard online bachelor's. Not ExcelTrack.
24ef58b5-4a80-5406-9f65-1dd5d236b6ef,PG,BSHA,Bachelor of Science in Health Care Administration,HEALTHCARE_MANAGEMENT,2025-2026,120,https://www.purdueglobal.edu/degree-programs/health-sciences/,2026-09-01,seed-research-2026-09,VERIFIED,
62937105-8cf9-55f6-96f2-30035f9bca21,PG,BSIT,Bachelor of Science in Information Technology — ExcelTrack,SOFTWARE_ENGINEERING,2025-2026,120,https://www.purdueglobal.edu/student-experience/personalized-learning/,2026-09-01,seed-research-2026-09,VERIFIED,ExcelTrack self-paced IT bachelor's used here for software engineering planning.
